iata,name,city,state,country,latitude,longitude
TXK,Texarkana Rgnl Webb Fld,Texarkana,,USA,33.453722,-93.991028
PBG,Plattsburgh Intl,Plattsburgh,,USA,44.650944,-73.468139
APG,Phillips Aaf,Aberdeen,,USA,39.466219,-76.168808
TCC,Tucumcari Muni,Tucumcari,,USA,35.182777,-103.603186
ANC,Ted Stevens Anchorage Intl,Anchorage,,USA,61.174361,-149.996361
GRK,Robert Gray Aaf,Killeen,,USA,31.06725,-97.828917
ZUN,Black Rock,Zuni Pueblo,,USA,35.083228,-108.791778
BLI,Bellingham Intl,Bellingham,,USA,48.792694,-122.537528
NQA,Millington Rgnl Jetport,Millington,,USA,35.356667,-89.870278
EKN,Elkins Randolph Co Jennings Randolph,Elkins,,USA,38.889444,-79.857139
HFD,Hartford Brainard,Hartford,,USA,41.736722,-72.649444
SFZ,North Central State,Smithfield,,USA,41.920764,-71.491381
MOB,Mobile Rgnl,Mobile,,USA,30.691231,-88.242814
NUQ,Moffett Federal Afld,Mountain View,,USA,37.416142,-122.049139
SAF,Santa Fe Muni,Santa Fe,,USA,35.617108,-106.089422
BKH,Barking Sands Pmrf,Barking Sands,,USA,22.022833,-159.785
DRI,Beauregard Rgnl,Deridder,,USA,30.831722,-93.339917
BSF,Bradshaw Aaf,Bradshaw Field,,USA,19.760056,-155.553717
OLS,Nogales Intl,Nogales,,USA,31.417722,-110.84789
MCF,Macdill Afb,Tampa,,USA,27.849339,-82.521214
BLV,Scott Afb Midamerica,Belleville,,USA,38.545178,-89.835183
OPF,Opa Locka,Miami,,USA,25.907,-80.278389
DRT,Del Rio Intl,Del Rio,,USA,29.374208,-100.927158
RSW,Southwest Florida Intl,Fort Myers,FL,USA,26.536167,-81.755167
AKN,King Salmon,King Salmon,,USA,58.676778,-156.649278
MUI,Muir Aaf,Muir,,USA,40.434811,-76.569411
JHM,Kapalua,Lahania-kapalua,,USA,20.962936,-156.673031
JFK,John F Kennedy Intl,New York,NY,USA,40.639751,-73.778925
HST,Homestead Arb,Homestead,,USA,25.48855,-80.383567
RAL,Riverside Muni,Riverside,,USA,33.951875,-117.445103
FLV,Sherman Aaf,Fort Leavenworth,,USA,39.368332,-94.914686
WAL,Wallops Flight Facility,Wallops Island,,USA,37.940194,-75.466389
HMN,Holloman Afb,Alamogordo,,USA,32.852519,-106.106525
NXX,Willow Grove Nas Jrb,Willow Grove,,USA,40.199833,-75.148167
CYS,Cheyenne Rgnl Jerry Olson Fld,Cheyenne,,USA,41.155722,-104.811839
SCK,Stockton Metropolitan,Stockton,,USA,37.894167,-121.238306
CHS,Charleston Afb Intl,Charleston,SC,USA,32.898647,-80.040528
RNO,Reno Tahoe Intl,Reno,,USA,39.499108,-119.768108
KTN,Ketchikan Intl,Ketchikan,,USA,55.355556,-131.71375
YIP,Willow Run,Detroit,,USA,42.237928,-83.530408
VBG,Vandenberg Afb,Lompoc,,USA,34.737333,-120.584306
BHM,Birmingham Intl,Birmingham,,USA,33.562942,-86.75355
NEL,Lakehurst Naes,Lakehurst,,USA,40.033333,-74.353333
SYA,Eareckson As,Shemya,,USA,52.712275,174.11362
LSV,Nellis Afb,Las Vegas,,USA,36.236197,-115.034253
RIV,March Arb,Riverside,,USA,33.880711,-117.259453
MOD,Modesto City Co Harry Sham,Modesto,,USA,37.625817,-120.954422
SMF,Sacramento Intl,Sacramento,CA,USA,38.695417,-121.590778
UGN,Waukegan Rgnl,Chicago,,USA,42.422161,-87.867908
COS,City Of Colorado Springs Muni,Colorado Springs,,USA,38.805805,-104.700778
BUF,Buffalo Niagara Intl,Buffalo,NY,USA,42.940525,-78.732167
SKY,Griffing Sandusky,Sandusky,,USA,41.433361,-82.652333
PAE,Snohomish Co,Everett,,USA,47.906342,-122.281564
MUO,Mountain Home Afb,Mountain Home,,USA,43.043603,-115.872431
CDC,Cedar City Rgnl,Cedar City,,USA,37.700967,-113.098847
BDL,Bradley Intl,Windsor Locks,CT,USA,41.938889,-72.683222
MFE,Mc Allen Miller Intl,Mcallen,,USA,26.175833,-98.238611
NGU,Norfolk Ns,Norfolk,,USA,36.937644,-76.289289
CEF,Westover Arb Metropolitan,Chicopee Falls,,USA,42.194014,-72.534783
LBB,Lubbock Preston Smith Intl,Lubbock,,USA,33.663639,-101.822778
ORD,Chicago Ohare Intl,Chicago,IL,USA,41.978603,-87.904842
BCT,Boca Raton,Boca Raton,,USA,26.3785,-80.107694
FAI,Fairbanks Intl,Fairbanks,,USA,64.815114,-147.856267
NYG,Quantico Mcaf,Quantico,,USA,38.501683,-77.305333
CVS,Cannon Afb,Clovis,,USA,34.382775,-103.322147
NGF,Kaneohe Bay Mcaf,Kaneohe Bay,,USA,21.450453,-157.768
OFF,Offutt Afb,Omaha,,USA,41.118332,-95.912511
GKN,Gulkana,Gulkana,,USA,62.154888,-145.456639
ART,Watertown Intl,Watertown,,USA,43.991922,-76.021739
PSP,Palm Springs Intl,Palm Springs,,USA,33.829667,-116.506694
AMA,Rick Husband Amarillo Intl,Amarillo,,USA,35.219369,-101.705931
FOD,Fort Dodge Rgnl,Fort Dodge,,USA,42.5512,-94.191842
BAD,Barksdale Afb,Shreveport,,USA,32.50182,-93.662674
FOE,Forbes Fld,Topeka,,USA,38.950944,-95.663611
COT,Cotulla Lasalle Co,Cotulla,,USA,28.456694,-99.220294
ILM,Wilmington Intl,Wilmington,,USA,34.270615,-77.902569
BTR,Baton Rouge Metro Ryan Fld,Baton Rouge,LA,USA,30.533167,-91.149639
NMM,Meridian Nas,Meridian,,USA,32.552083,-88.555557
TYR,Tyler Pounds Rgnl,Tyler,,USA,32.354139,-95.402386
BWI,Baltimore Washington Intl,Baltimore,MD,USA,39.175361,-76.668333
HBR,Hobart Muni,Hobart,,USA,34.991308,-99.051353
LNY,Lanai,Lanai,,USA,20.785611,-156.951419
AEX,Alexandria Intl,Alexandria,,USA,31.3274,-92.549833
WSD,Condron Aaf,White Sands,,USA,32.341484,-106.40277
CDB,Cold Bay,Cold Bay,,USA,55.206061,-162.725436
TUL,Tulsa Intl,Tulsa,OK,USA,36.198389,-95.888111
SIT,Sitka Rocky Gutierrez,Sitka,,USA,57.047138,-135.361611
ISP,Long Island Mac Arthur,Islip,,USA,40.79525,-73.100222
MSP,Minneapolis St Paul Intl,Minneapolis,MN,USA,44.881956,-93.221767
ILG,New Castle,Wilmington,,USA,39.678722,-75.606528
DUT,Unalaska,Unalaska,,USA,53.900139,-166.5435
MSY,Louis Armstrong New Orleans Intl,New Orleans,LA,USA,29.993389,-90.258028
PWM,Portland Intl Jetport,Portland,,USA,43.646161,-70.309281
OKC,Will Rogers World,Oklahoma City,OK,USA,35.393089,-97.600733
ALB,Albany Intl,Albany,NY,USA,42.748267,-73.801692
VDZ,Valdez Pioneer Fld,Valdez,,USA,61.133949,-146.248342
LFI,Langley Afb,Hampton,,USA,37.082881,-76.360547
SNA,John Wayne Arpt Orange Co,Santa Ana,,USA,33.675667,-117.868222
CBM,Columbus Afb,Colombus,,USA,33.643833,-88.443833
TMB,Kendall Tamiami Executive,Kendall-tamiami,,USA,25.647889,-80.432777
NTU,Oceana Nas,Oceana,,USA,36.820703,-76.033542
GUS,Grissom Arb,Peru,,USA,40.648094,-86.152119
CPR,Natrona Co Intl,Casper,,USA,42.908,-106.464417
VPS,Eglin Afb,Valparaiso,,USA,30.48325,-86.5254
SEM,Craig Fld,Selma,,USA,32.343947,-86.987803
EYW,Key West Intl,Key West,,USA,24.556111,-81.759556
CLT,Charlotte Douglas Intl,Charlotte,NC,USA,35.214,-80.943139
LAS,Mc Carran Intl,Las Vegas,NV,USA,36.080056,-115.15225
MCO,Orlando Intl,Orlando,FL,USA,28.429394,-81.308994
FLO,Florence Rgnl,Florence,,USA,34.185361,-79.723889
GTF,Great Falls Intl,Great Falls,,USA,47.482,-111.370689
YNG,Youngstown Warren Rgnl,Youngstown,,USA,41.260736,-80.679097
FBK,Ladd Aaf,Fort Wainwright,,USA,64.8375,-147.614444
MMV,Mc Minnville Muni,Mackminnville,,USA,45.194444,-123.135944
WRB,Robins Afb,Macon,,USA,32.640144,-83.59185
PUW,Pullman-Moscow Rgnl,Pullman,,USA,46.743861,-117.109583
LWS,Lewiston Nez Perce Co,Lewiston,,USA,46.3745,-117.015389
ELM,Elmira Corning Rgnl,Elmira,,USA,42.159889,-76.891611
ITH,Ithaca Tompkins Rgnl,Ithaca,,USA,42.491028,-76.458444
MRY,Monterey Peninsula,Monterey,,USA,36.587,-121.842944
SBA,Santa Barbara Muni,Santa Barbara,,USA,34.426211,-119.840372
DAB,Daytona Beach Intl,Daytona Beach,,USA,29.179917,-81.058056
JRB,Wall Street Heliport,New York,,USA,40.701214,-74.009028
TKA,Talkeetna,Talkeetna,,USA,62.3205,-150.093694
HVN,Tweed-New Haven Airport,New Haven,,USA,41.26375,-72.886806
AVL,Asheville Regional Airport,Asheville,,USA,35.436194,-82.541806
GSO,Piedmont Triad,Greensboro,NC,USA,36.09775,-79.937306
FSD,Sioux Falls,Sioux Falls,,USA,43.582014,-96.741914
MHT,Manchester Regional Airport,Manchester NH,,USA,42.932556,-71.435667
APF,Naples Muni,Naples,,USA,26.152619,-81.775294
SDF,Louisville International Airport,Louisville,KY,USA,38.1740858,-85.7364989
CHO,Charlottesville-Albemarle,Charlottesville,VA,USA,38.138639,-78.452861
ROA,Roanoke Regional,Roanoke,VA,USA,37.325472,-79.975417
LEX,Blue Grass,Lexington KY,,USA,38.0365,-84.605889
EVV,Evansville Regional,Evansville,,USA,38.036997,-87.532364
ABQ,Albuquerque International Sunport,Albuquerque,,USA,35.0402222,-106.6091944
BZN,Gallatin Field,Bozeman,,USA,45.777643,-111.160151
BIL,Billings Logan International Airport,Billings,,USA,45.80921,-108.537654
BTM,Bert Mooney Airport,Butte,,USA,45.954806,-112.497472
TVC,Cherry Capital Airport,Traverse City,,USA,44.741445,-85.582235
BHB,Hancock County - Bar Harbor,Bar Harbor,,USA,44.4497689,-68.3615653
RKD,Knox County Regional Airport,Rockland,,USA,44.0601111,-69.0992303
JAC,Jackson Hole Airport,Jacksn Hole,WY,USA,43.60733333,-110.73775
RFD,Chicago Rockford International Airport ,Rockford,,USA,42.1953611,-89.0972222
TSS,East 34th Street Heliport,New York,,USA,40.7425,-73.971944
GSP,Greenville-Spartanburg International,Greenville,SC,USA,34.895556,-82.218889
BMI,Central Illinois Rgnl,Bloomington,,USA,40.477111,-88.915917
GPT,Gulfport-Biloxi,Gulfport,,USA,30.407278,-89.070111
AZO,Kalamazoo,Kalamazoo,,USA,42.234875,-85.552058
TOL,Toledo,Toledo,,USA,41.586806,-83.807833
FWA,Fort Wayne,Fort Wayne,,USA,40.978472,-85.195139
DEC,Decatur,Decatur,,USA,39.834564,-88.865689
CID,Cedar Rapids,Cedar Rapids,,USA,41.884694,-91.710806
LSE,La Crosse Municipal,La Crosse,,USA,43.878986,-91.256711
CWA,Central Wisconsin,Wassau,,USA,44.772726,-89.646635
PIA,Peoria Regional,Peoria,,USA,40.664203,-89.693258
ATW,Appleton,Appleton,,USA,44.257526,-88.507576
RST,Rochester,Rochester,,USA,43.908283,-92.500014
CMI,Champaign,Champaign,,USA,40.03925,-88.278056
MHK,Manhattan Reigonal,Manhattan,,USA,39.140972,-96.670833
FKL,Franklin,Franklin,,USA,41.377874,-79.860362
GJT,Grand Junction Regional,Grand Junction,,USA,39.122413,-108.526735
SGU,St George Muni,Saint George,,USA,37.090583,-113.593056
DWH,David Wayne Hooks Field,Houston,,USA,30.063746,-95.554276
S46,Port O\\'Connor Airfield,Port O\\'Connor,,USA,28.429977,-96.442859
SRQ,Sarasota Bradenton Intl,Sarasota,,USA,27.395444,-82.554389
VNY,Van Nuys,Van Nuys,,USA,34.209811,-118.489972
X21,Arthur Dunn Airpark,Titusville,,USA,28.622552,-80.83541
MLI,Quad City Intl,Moline,,USA,41.448528,-90.507539
PFN,Panama City Bay Co Intl,Panama City,,USA,30.212083,-85.682806
DWS,Orlando,Orlando,,USA,28.398,-81.57
BIS,Bismarck Municipal Airport,Bismarck,,USA,46.775842,-100.757931
TEX,Telluride,Telluride,,USA,37.953759,-107.90848
RAP,Rapid City Regional Airport,Rapid City,,USA,44.045278,-103.057222
CLD,McClellan-Palomar Airport,Carlsbad,,USA,33.0742,-117.1648
FNT,Bishop International,Flint,,USA,42.965424,-83.743629
RDD,Redding Muni,Redding,,USA,40.509,-122.293389
EUG,Mahlon Sweet Fld,Eugene,,USA,44.124583,-123.211972
IDA,Idaho Falls Rgnl,Idaho Falls,,USA,43.514556,-112.07075
MFR,Rogue Valley Intl Medford,Medford,,USA,42.374228,-122.8735
RDM,Roberts Fld,Redmond-Bend,,USA,44.254066,-121.149964
CAK,Akron Canton Regional Airport,Akron,OH,USA,40.9160833,-81.4421944
HSV,Huntsville International Airport-Carl T Jones Field,Huntsville,AL,USA,34.6371944,-86.7750556
PKB,Mid-Ohio Valley Regional Airport,PARKERSBURG,,USA,39.3451039,-81.4392031
MGM,Montgomery Regional Airport ,MONTGOMERY,,USA,32.3006389,-86.3939722
TRI,Tri-Cities Regional Airport,BRISTOL,,USA,36.4752222,-82.4074167
PAH,Barkley Regional Airport,PADUCAH,,USA,37.0602875,-88.7729583
FCA,Glacier Park Intl,Kalispell,,USA,48.310472,-114.256
PGA,Page Municipal Airport,Page,,USA,36.9261,-111.4483
MBS,Mbs Intl,Saginaw,,USA,43.532913,-84.079647
BGM,Greater Binghamton Edwin A Link Fld,Binghamton,,USA,42.208689,-75.979839
BLH,Blythe Airport,Blythe,,USA,33.619167,-114.716889
PSG,Petersburg James A. Johnson,Petersburg,,USA,56.801667,-132.945278
SFB,Orlando Sanford Intl,Sanford,,USA,28.777639,-81.237489
JST,John Murtha Johnstown-Cambria County Airport,Johnstown,,USA,40.316111,-78.833889
MSO,Missoula Intl,Missoula,,USA,46.916306,-114.090556
GCN,Grand Canyon National Park Airport,Grand Canyon,,USA,35.9523611,-112.1469722
SGR,Sugar Land Regional Airport,Sugar Land,,USA,29.62225,-95.6565278
APA,Centennial,Denver,,USA,39.570129,-104.849294
CVN,Clovis Muni,Clovis,,USA,34.425139,-103.079278
FST,Fort Stockton Pecos Co,Fort Stockton,,USA,30.915667,-102.916139
LVS,Las Vegas Muni,Las Vegas,,USA,35.654222,-105.142389
IWS,West Houston,Houston,,USA,29.818194,-95.672611
LHX,La Junta Muni,La Junta,,USA,38.049719,-103.509431
LRU,Las Cruces Intl,Las Cruces,,USA,32.289417,-106.921972
BKD,Stephens Co,Breckenridge,,USA,32.719047,-98.891
TPL,Draughon Miller Central Texas Rgnl,Temple,,USA,31.1525,-97.407778
OZA,Ozona Muni,Ozona,,USA,30.735281,-101.202972
WKL,Waikoloa Heliport,Waikoloa Village,,USA,19.9136,-155.864
EGE,Eagle Co Rgnl,Vail,,USA,39.642556,-106.917694
,Stapleton,Denver,,USA,39.779255,-104.88184
CGF,Cuyahoga County,Richmond Heights,,USA,41.565124,-81.4863555
MFD,Mansfield Lahm Regional,Mansfield,,USA,40.8214167,-82.5166389
CSG,Columbus Metropolitan Airport,Columbus,,USA,32.5163333,-84.9388611
LAW,Lawton-Fort Sill Regional Airport,Lawton,,USA,34.5677144,-98.4166367
FNL,Fort Collins Loveland Muni,Fort Collins,,USA,40.451828,-105.011336
FLG,Flagstaff Pulliam Airport,Flagstaff,,USA,35.140318,-111.6692392
TVL,Lake Tahoe Airport,South Lake Tahoe,,USA,38.893889,-119.995278
TWF,Magic Valley Regional Airport,Twin Falls,,USA,42.481803,-114.487733
MVY,Martha\\'s Vineyard,Vineyard Haven MA,,USA,41.391667,-70.615278
UUU,Newport State,Newport RI,,USA,41.533056,-71.282222
VSF,Hartness State,Springfield VT,,USA,43.343333,-72.517222
CON,Concord Municipal,Concord NH,,USA,43.20267,-71.50233
SFM,Sanford Regional,Sanford ME,,USA,43.39383,-70.708
GON,Groton New London,Groton CT,,USA,41.330056,-72.045139
STC,Saint Cloud Regional Airport,Saint Cloud,,USA,45.546556,-94.059889
GTR,Golden Triangle Regional Airport,Columbus Mississippi,,USA,33.450333,-88.591361
HQM,Bowerman Field,Hoquiam,,USA,46.9711944,-123.9365556
ERI,Erie Intl Tom Ridge Fld,Erie,,USA,42.082022,-80.176217
HYA,Barnstable Muni Boardman Polando Fld,Barnstable,,USA,41.669336,-70.280356
SDX,Sedona,Sedona,,USA,34.848628,-111.788472
,Dry Tortugas,Dry Tortugas,,USA,24.62,-82.87
,Dry Tortugas,Dry Tortugas,,USA,24.62,24.62
,Dry Tortugas,Dry Tortugas,,USA,24.628,82.873
MGW,Morgantown Muni Walter L Bill Hart Fld,Morgantown,,USA,39.642908,-79.916314
CRW,Yeager,Charleston,,USA,38.373147,-81.593189
AVP,Wilkes Barre Scranton Intl,Scranton,,USA,41.338478,-75.723403
BJI,Bemidji Regional Airport,Bemidji,,USA,47.510722,-94.934722
FAR,Hector International Airport,Fargo,,USA,46.92065,-96.8157639
MKC,Downtown,Kansas City,,USA,39.1275,-94.598889
AZA,Phoenix-Mesa Gateway,Mesa,,USA,33.307833,-111.655
GCC,Gillette-Campbell County Airport,Gillette,,USA,44.3489167,-105.5393611
NZJ,El Toro,Santa Ana,,USA,33.676132,-117.731164
ECA,Iosco County,East Tawas,,USA,44.311,-83.422
SCE,University Park Airport,State College Pennsylvania,,USA,40.849278,-77.848694
MEI,Key Field,Meridian,,USA,32.332624,-88.751868
SPI,Abraham Lincoln Capital,Springfield,,USA,39.8441,-89.677889
CEZ,Cortez Muni,Cortez,,USA,37.303,-108.628056
HDN,Yampa Valley,Hayden,CO,USA,40.481181,-107.21766
GUP,Gallup Muni,Gallup,,USA,35.511058,-108.789308
LBL,Liberal Muni,Liberal,,USA,37.044222,-100.95986
LAA,Lamar Muni,Lamar,,USA,38.069694,-102.6885
GLD,Renner Fld,Goodland,,USA,39.370621,-101.698992
COD,Yellowstone Rgnl,Cody,,USA,44.520194,-109.023806
SGF,Springfield Branson Natl,Springfield,,USA,37.245667,-93.388639
JLN,Joplin Rgnl,Joplin,,USA,37.151814,-94.498269
ABE,Lehigh Valley Intl,Allentown,,USA,40.652083,-75.440806
XNA,NW Arkansas Regional,Bentonville,,USA,36.2818694,-94.3068111
SBN,South Bend Rgnl,South Bend,,USA,41.708661,-86.31725
ZWU,Washington Union Station,Washington,,USA,38.89746,-77.00643
SMD,Smith Fld,Fort Wayne IN,,USA,41.143353,-85.152778
ACV,Arcata,Arcata CA,,USA,40.978111,-124.108611
ATT,Camp Mabry Austin City,Austin TX,,USA,30.31666,-97.7666
OAJ,Albert J Ellis,Jacksonville NC,,USA,34.829164,-77.612139
TCL,Tuscaloosa Rgnl,Tuscaloosa AL,,USA,33.220627,-87.611403
DBQ,Dubuque Rgnl,Dubuque IA,,USA,42.402,-90.709472
LUP,Kalaupapa Airport,Molokai,,USA,21.211,-156.974
WRG,Wrangell Airport,Wrangell,,USA,56.4843,-132.37
VAK,Chevak Airport,Chevak,,USA,61.5338,-165.584
ANI,Aniak Airport,Aniak,,USA,61.5816,-159.543
MOU,Mountain Village Airport,Mountain Village,,USA,62.0954,-163.682
MCG,McGrath Airport,Mcgrath,,USA,62.9529,-155.606
KLG,Kalskag Airport,Kalskag,,USA,61.5363,-160.341
HNS,Haines Airport,Haines,,USA,59.2438,-135.524
HCR,Holy Cross Airport,Holy Cross,,USA,62.1883,-159.775
SGY,Skagway Airport,Skagway,,USA,59.4601,-135.316
GST,Gustavus Airport,Gustavus,,USA,58.4253,-135.707
ADK,Adak Airport,Adak Island,,USA,51.878,-176.646
YKM,Yakima Air Terminal McAllister Field,Yakima,,USA,46.5682,-120.544
WRL,Worland Municipal Airport,Worland,,USA,43.9657,-107.951
VLD,Valdosta Regional Airport,Valdosta,,USA,30.7825,-83.2767
VCT,Victoria Regional Airport,Victoria,,USA,28.8526,-96.9185
UIN,Quincy Regional Baldwin Field,Quincy,,USA,39.9427,-91.1946
TUP,Tupelo Regional Airport,Tupelo,,USA,34.2681,-88.7699
SMX,Santa Maria Pub Cpt G Allan Hancock Airport,Santa Maria,,USA,34.8989,-120.457
SLN,Salina Municipal Airport,Salina,,USA,38.791,-97.6522
SLK,Adirondack Regional Airport,Saranac Lake,,USA,44.3853,-74.2062
SHR,Sheridan County Airport,Sheridan,,USA,44.7692,-106.98
SBP,San Luis County Regional Airport,San Luis Obispo,,USA,35.2368,-120.642
RUT,Rutland State Airport,Rutland,,USA,43.5294,-72.9496
RKS,Rock Springs Sweetwater County Airport,Rock Springs,,USA,41.5942,-109.065
RHI,Rhinelander Oneida County Airport,Rhinelander,,USA,45.6312,-89.4675
RDG,Reading Regional Carl A Spaatz Field,Reading,,USA,40.3785,-75.9652
PSM,Pease International Tradeport,Portsmouth,,USA,43.0779,-70.8233
PLN,Pellston Regional Airport of Emmet County Airport,Pellston,,USA,45.5709,-84.7967
PIR,Pierre Regional Airport,Pierre,,USA,44.3827,-100.286
PIH,Pocatello Regional Airport,Pocatello,,USA,42.9098,-112.596
PIB,Hattiesburg Laurel Regional Airport,Hattiesburg/Laurel,,USA,31.4671,-89.3371
OWB,Owensboro Daviess County Airport,Owensboro,,USA,37.7401,-87.1668
OTH,Southwest Oregon Regional Airport,North Bend,,USA,43.4171,-124.246
MSL,Northwest Alabama Regional Airport,Muscle Shoals,,USA,34.7453,-87.6102
MLS,Frank Wiley Field,Miles City,,USA,46.428,-105.886
MKG,Muskegon County Airport,Muskegon,,USA,43.1695,-86.2382
LYH,Lynchburg Regional Preston Glenn Field,Lynchburg,,USA,37.3267,-79.2004
LWT,Lewistown Municipal Airport,Lewistown,,USA,47.0493,-109.467
LNS,Lancaster Airport,Lancaster,,USA,40.1217,-76.2961
LMT,Klamath Falls Airport,Klamath Falls,,USA,42.1561,-121.733
LEB,Lebanon Municipal Airport,Lebanon,,USA,43.6261,-72.3042
LBF,North Platte Regional Airport Lee Bird Field,North Platte,,USA,41.1262,-100.684
LBE,Arnold Palmer Regional Airport,Latrobe,,USA,40.2759,-79.4048
LAR,Laramie Regional Airport,Laramie,,USA,41.3121,-105.675
JMS,Jamestown Regional Airport,Jamestown,,USA,46.9297,-98.6782
IRK,Kirksville Regional Airport,Kirksville,,USA,40.0935,-92.5449
HTS,Tri State Milton J Ferguson Field,Huntington,,USA,38.3667,-82.558
HOT,Memorial Field,Hot Springs,,USA,34.478,-93.0962
GRI,Central Nebraska Regional Airport,Grand Island,,USA,40.9675,-98.3096
GGW,Wokal Field Glasgow International Airport,Glasgow,,USA,48.2125,-106.615
FAY,Fayetteville Regional Grannis Field,Fayetteville,,USA,34.9912,-78.8803
EWB,New Bedford Regional Airport,New Bedford,,USA,41.6761,-70.9569
EKO,Elko Regional Airport,Elko,,USA,40.8249,-115.792
EAU,Chippewa Valley Regional Airport,Eau Claire,,USA,44.8658,-91.4843
DUJ,DuBois Regional Airport,Du Bois,,USA,41.1783,-78.8987
DDC,Dodge City Regional Airport,Dodge City,,USA,37.7634,-99.9656
CMX,Houghton County Memorial Airport,Hancock,,USA,47.1684,-88.4891
CLM,William R Fairchild International Airport,Port Angeles,,USA,48.1202,-123.5
CKB,Harrison Marion Regional Airport,Clarksburg,,USA,39.2966,-80.2281
CIU,Chippewa County International Airport,Sault Ste Marie,,USA,46.2508,-84.4724
CGI,Cape Girardeau Regional Airport,Cape Girardeau,,USA,37.2253,-89.5708
CEC,Del Norte County Airport,Crescent City,,USA,41.7802,-124.237
BRL,Southeast Iowa Regional Airport,Burlington,,USA,40.7832,-91.1255
BQK,Brunswick Golden Isles Airport,Brunswick,,USA,31.2588,-81.4665
BKW,Raleigh County Memorial Airport,Beckley,,USA,37.7873,-81.1242
BFF,Western Nebraska Regional Airport,Scottsbluff,,USA,41.874,-103.596
BFD,Bradford Regional Airport,Bradford,,USA,41.8031,-78.6401
ATY,Watertown Regional Airport,Watertown,,USA,44.914,-97.1547
APN,Alpena County Regional Airport,Alpena,,USA,45.0781,-83.5603
ALW,Walla Walla Regional Airport,Walla Walla,,USA,46.0949,-118.288
ALO,Waterloo Regional Airport,Waterloo,,USA,42.5571,-92.4003
ALM,Alamogordo White Sands Regional Airport,Alamogordo,,USA,32.8399,-105.991
AHN,Athens Ben Epps Airport,Athens,,USA,33.9486,-83.3263
ABY,Southwest Georgia Regional Airport,Albany,,USA,31.5355,-84.1945
ABR,Aberdeen Regional Airport,Aberdeen,,USA,45.4491,-98.4218
,Fremont Airport,Fremont,,USA,41.3331,-83.1612
WKK,Aleknagik Airport,Aleknagik,,USA,59.2826,-158.618
BKX,Brookings Regional Airport,Brookings,,USA,44.3048,-96.8169
BLF,Mercer County Airport,Bluefield,,USA,37.2958,-81.2077
EAR,Kearney Municipal Airport,Kearney,,USA,40.727,-99.0068
GLH,Mid Delta Regional Airport,Greenville,,USA,33.4829,-90.9856
IFP,Laughlin-Bullhead Intl,Bullhead,,USA,35.1574,-114.56
IGM,Kingman Airport,Kingman,,USA,35.2595,-113.938
PSC,Tri Cities Airport,Pasco,,USA,46.2647,-119.119
KQA,Akutan Seaplane Base,Akutan,,USA,54.1325,-165.785
SVC,Grant County Airport,Silver City,,USA,32.6365,-108.156
LPS,Lopez Island Airport,Lopez,,USA,48.4839,-122.938
ORH,Worcester Regional Airport,Worcester,,USA,42.2673,-71.8757
,New Rochelle Amtrak Station,New Rochelle,,USA,40.913923,-73.782008
,Anoka County Blaine Airport,Anoka,,USA,45.1448889,-93.2101944
ZVE,New Haven Rail Station,New Haven,,USA,41.298669,-72.925992
,Chicago Union Station,Chicago,,USA,41.8791966,-87.6388507
PWT,Bremerton National,Bremerton,,USA,47.490244,-122.764814
SPW,Spencer Muni,Spencer,,USA,43.165527,-95.202805
JEF,Jefferson City Memorial Airport,Jefferson City,,USA,38.5912,-92.1561
GCW,Grand Canyon West Airport,Grand Canyon West,,USA,35.5925,-113.4859
BLD,Boulder City Municipal Airport,Boulder City,,USA,35.5651,-114.514
,Glenview Amtrak Station,Glenview,,USA,42.074197,-87.805346
,Baltimore Penn Station,Baltimore,,USA,39.307408,-76.615552
PVC,Provincetown Muni,Provincetown,,USA,42.071945,-70.22139
LKE,Kenmore Air Harbor Seaplane Base,Seattle,,USA,47.629,-122.339
FUL,Fullerton Municipal Airport,Fullerton,,USA,33.521925,-117.584722
,Concord Rgnl,Concord,,USA,35.387775,-80.709136
SUN,Friedman Mem,Hailey,,USA,43.504444,-114.296194
MCW,Mason City Municipal,Mason City,,USA,43.2247,-93.4067
,Byron Airport,Byron,,USA,37.8284,-121.626
1OH,Fortman Airport,St. Marys,,USA,40.5553253,-84.3866186
EAT,Pangborn Field,Wenatchee,,USA,47.398,-120.206
OSH,Wittman Regional Airport,Oshkosh,,USA,44.024983,-88.551336
BEH,Southwest Michigan Regional Airport,Benton Harbor,,USA,42.1285833,-86.4285
UES,Waukesha County Airport,Waukesha,,USA,43.0410278,-88.2370556
10C,Galt Field Airport,Greenwood,,USA,42.4028889,-88.3751111
X01,Everglades Airpark,Everglades,,USA,25.8488611,-81.3902778
TOG,Togiak Airport,Togiak Village,,USA,59.0528,-160.397
PTH,Port Heiden Airport,Port Heiden,,USA,56.9591,-158.633
KVC,King Cove Airport,King Cove,,USA,55.1163,-162.266
KNW,New Stuyahok Airport,New Stuyahok,,USA,59.4499,-157.328
IGG,Igiugig Airport,Igiugig,,USA,59.324,-155.902
DRG,Deering Airport,Deering,,USA,66.0696,-162.766
SDP,Sand Point Airport,Sand Point,,USA,55.315,-160.523
HGR,Hagerstown Regional Richard A Henson Field,Hagerstown,,USA,39.7079,-77.7295
KPC,Port Clarence Coast Guard Station,Port Clarence,,USA,65.2537,-166.859
ARC,Arctic Village Airport,Arctic Village,,USA,68.1147,-145.579
WTK,Noatak Airport,Noatak,,USA,67.5661,-162.975
